chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.354233925,0.276062846,1950.159464,2078.689612,3960.335759,0.093241326,3.671633103,112.1665889,-25.74246847,34.71451857,-2.40036391,1.505925977,-8.860178984,2.818660827,-0.577213204,3.266797623,-9.598847434,3.292408949,-11.51503429,3.019130623,-7.534160427,-0.832446746,0.18978582,-0.155611199,-11.25057162,-2.127712832,alternative
0.391508356,0.271324307,2478.304331,2637.539867,5446.776267,0.107200959,6.946935833,87.12071122,-5.191693427,17.7071212,9.283475733,9.338549897,-4.514232606,6.505910405,3.9329528,8.073190035,-4.271752953,2.327654673,-0.620306851,5.038248886,-2.293012884,4.437074312,-6.483697668,-4.106875972,-5.620821865,2.800948846,alternative
0.390730068,0.218357384,1996.864133,2368.569177,4408.586103,0.072017519,-59.51021099,103.2912947,-0.759640244,32.37726447,8.649820833,9.742657523,0.71691635,4.775194702,1.658665512,9.063986031,2.898121721,9.351231185,1.181755154,12.09828399,4.588749878,5.237844894,-4.570218543,-1.006976961,-6.200526718,1.325061401,alternative
0.379783132,0.202373967,2684.013092,2750.891295,6030.645823,0.117790204,-21.0644728,76.57599645,1.333270967,32.08338386,10.35447657,13.19387466,-2.175433781,8.640016564,0.28779405,5.671828455,-5.515725645,6.206606201,-7.088340674,2.412431288,-4.015149834,-0.369384433,-6.122399467,4.764218975,-1.707191442,3.164234411,alternative
0.438556536,0.159423903,1705.503894,2199.13261,3878.324731,0.060312364,-101.7865535,125.46314,3.847306586,19.61419091,-3.404663148,9.607440382,9.183344469,7.101285197,-7.141653218,11.33062201,-2.869094618,3.245962056,4.396273735,5.124835145,-10.00217563,4.848086965,-3.114414541,5.731868534,-0.509365291,1.580014562,alternative
0.463626733,0.261661559,2342.397784,2465.730608,5192.649498,0.102165204,-55.68722523,78.88193717,-1.883524235,44.07810685,7.029052338,25.94838937,-1.633170878,13.30707113,5.703677363,-1.988965547,-0.457157925,4.18582804,-6.018467755,4.121669708,-13.84873813,-3.91395151,-8.201383844,-4.446935097,-5.766377869,-6.533243738,alternative
0.445700083,0.246299624,1899.720335,2035.038118,3869.106921,0.095157066,-39.55204303,120.6751661,-16.66782251,31.74600057,-4.398727339,0.570693545,-8.131594303,6.295989822,-7.609029115,8.730315044,2.257601211,5.38123224,-0.989773483,2.636220603,0.906083791,-1.36878088,-3.795986498,1.629030598,-2.665381028,0.455514981,alternative
0.527475979,0.28175512,2776.759555,2901.086053,6222.870878,0.109372734,-13.32368723,71.50351424,20.60300664,27.92917687,5.491589929,23.02260858,8.774004397,15.15096108,2.546969775,3.126160923,3.257805509,2.656538287,3.816698846,5.888098203,-0.285372946,4.310725938,-3.234783433,2.335282143,0.177219057,1.006585102,alternative
0.472728726,0.162092164,1108.12499,1818.772474,2281.570272,0.021015353,-179.6284383,146.9179657,24.25010168,18.34743399,7.08887761,20.75119521,17.14892289,17.50976892,4.190396866,9.062164088,0.639663958,3.423471292,-2.898582916,2.456760087,-2.629469493,2.642735266,-2.435423198,2.23779028,2.5261161,2.14229978,alternative
0.392822197,0.251087338,2073.927684,2471.240037,4903.15032,0.075216838,-26.17915884,103.4139631,4.469951278,21.89759873,-1.83402523,18.33981948,-0.405752617,9.292002993,-7.632901641,0.343791913,-4.911071191,1.525064341,-3.519720719,-1.00856141,-2.791604208,-2.24525917,-12.46809936,-4.140073716,-10.571332,-2.189549812,alternative
